"estimator","S","Y","coef","se","lci","uci"
"rsv","buffer_holdout","05k",-0.00849627481426322,0.00942388830918952,-0.0239971916796192,0.00700464205109273
"rsv","control_buffer_holdout","05k",-0.00585569192136724,0.00989787915151701,-0.0221362543428673,0.0104248705001329
"rsv","random","05k",-0.0237029267316324,0.0124169210790858,-0.0441269444041368,-0.0032789090591279
"rsv","buffer_holdout","10k",-0.0256460311246047,0.0148861368291204,-0.0501315472792792,-0.0011605149699302
"rsv","control_buffer_holdout","10k",-0.0239596188272585,0.0152311612729919,-0.049012649689822,0.0010934120353049
"rsv","random","10k",-0.0348144805420717,0.0232948527435655,-0.0731311035666258,0.0035021424824825
"rsv","buffer_holdout","cons",-0.030644911336749,0.0211276893605155,-0.065396867810497,0.00410704513699895
"rsv","control_buffer_holdout","cons",-0.0266216712206902,0.0202564711568218,-0.0599406012722264,0.00669725883084609
"rsv","random","cons",-0.0665743490019104,0.0331593054383111,-0.121116552819308,-0.0120321451845127
"surrogate","buffer_holdout","05k",0.000923097883997664,0.010010321750447,-0.0155424161541763,0.0173886119221716
"surrogate","control_buffer_holdout","05k",0.00270445221551258,0.00995614883527025,-0.0136719553066504,0.0190808597376755
"surrogate","random","05k",-0.0182962103824081,0.00984513220044752,-0.034490011790131,-0.0021024089746853
"surrogate","buffer_holdout","10k",0.00269560088548315,0.0167035726944628,-0.0247793312440516,0.0301705330150179
"surrogate","control_buffer_holdout","10k",0.00874339876633573,0.0167487643787777,-0.0188058670690524,0.0362926646017239
"surrogate","random","10k",-0.0209840487411224,0.0163964908742352,-0.0479538762248849,0.00598577874264008
"surrogate","buffer_holdout","cons",-0.0044774035477475,0.0274921367857419,-0.049697944452421,0.040743137356926
"surrogate","control_buffer_holdout","cons",0.0041586729875514,0.0275343953353621,-0.0411313770457346,0.0494487230208374
"surrogate","random","cons",-0.0434496815687146,0.0270426354611265,-0.0879308585892751,0.00103149545184589
"true",NA,"05k",-0.0326452014471553,0.0168273114299379,-0.0603236656845305,-0.00496673720977998
"true",NA,"10k",-0.0483662755159716,0.0294709318199955,-0.0968416446097307,0.000109093577787427
"true",NA,"cons",-0.0779575902720128,0.0459085188639344,-0.153470384033325,-0.00244479651070025
