"sample_size","tau","theta","estimator","rmse","bias","Y"
1000,0,-0.0749132429797282,"rsv",0.0871641354436339,0.00439130803863204,"Ycons"
1000,0,-0.0749132429797282,"surrogate",0.0612124018262514,0.0594898688520657,"Ycons"
1000,0.1,0.0250867570202719,"rsv",0.101794808831909,0.0167412453202916,"Ycons"
1000,0.1,0.0250867570202719,"surrogate",0.0257455636076652,-0.0208093302883389,"Ycons"
1000,0.2,0.125086757020272,"rsv",0.119985306792456,0.0269560542016861,"Ycons"
1000,0.2,0.125086757020272,"surrogate",0.102122775981373,-0.100989302387809,"Ycons"
1000,0.3,0.225086757020272,"rsv",0.169384263260858,0.0346389185555857,"Ycons"
1000,0.3,0.225086757020272,"surrogate",0.182056140586806,-0.181347473740328,"Ycons"
1000,0.4,0.325086757020272,"rsv",0.184467820557649,0.0636419060735087,"Ycons"
1000,0.4,0.325086757020272,"surrogate",0.260839849524051,-0.260349841828504,"Ycons"
1000,0.5,0.425086757020272,"rsv",0.212645399132771,0.079121729107803,"Ycons"
1000,0.5,0.425086757020272,"surrogate",0.340681255206767,-0.340283161422707,"Ycons"
2000,0,-0.0749132429797282,"rsv",0.0455236306162604,0.00350430522883642,"Ycons"
2000,0,-0.0749132429797282,"surrogate",0.0591538886045484,0.0582216550624573,"Ycons"
2000,0.1,0.0250867570202719,"rsv",0.0537538012555946,0.00689839512469435,"Ycons"
2000,0.1,0.0250867570202719,"surrogate",0.0219813614118378,-0.0190216430841138,"Ycons"
2000,0.2,0.125086757020272,"rsv",0.0639023199208284,0.00903397035820222,"Ycons"
2000,0.2,0.125086757020272,"surrogate",0.097004442089527,-0.096331319105607,"Ycons"
2000,0.3,0.225086757020272,"rsv",0.0721631381969099,0.0133231175277247,"Ycons"
2000,0.3,0.225086757020272,"surrogate",0.173737372776507,-0.173342010676803,"Ycons"
2000,0.4,0.325086757020272,"rsv",0.0823698330927572,0.0113703766320182,"Ycons"
2000,0.4,0.325086757020272,"surrogate",0.25123115503951,-0.250934928899535,"Ycons"
2000,0.5,0.425086757020272,"rsv",0.0935413464821217,0.0153505917265406,"Ycons"
2000,0.5,0.425086757020272,"surrogate",0.328497682683872,-0.328259384145399,"Ycons"
3000,0,-0.0749132429797282,"rsv",0.0349556010497045,4.39536034418236e-05,"Ycons"
3000,0,-0.0749132429797282,"surrogate",0.056009063186119,0.0552862692444692,"Ycons"
3000,0.1,0.0250867570202719,"rsv",0.0402921902398856,0.00192839737711867,"Ycons"
3000,0.1,0.0250867570202719,"surrogate",0.0209492382668802,-0.0188090426631493,"Ycons"
3000,0.2,0.125086757020272,"rsv",0.0466788372520676,0.00528053110093951,"Ycons"
3000,0.2,0.125086757020272,"surrogate",0.0935125601464079,-0.0930351454501371,"Ycons"
3000,0.3,0.225086757020272,"rsv",0.0535991092423782,0.00731187026987212,"Ycons"
3000,0.3,0.225086757020272,"surrogate",0.167795422878038,-0.167516847493991,"Ycons"
3000,0.4,0.325086757020272,"rsv",0.0589627431150641,0.00634549031506348,"Ycons"
3000,0.4,0.325086757020272,"surrogate",0.242724616713667,-0.242531273213026,"Ycons"
3000,0.5,0.425086757020272,"rsv",0.0660005451221739,0.0102504997546501,"Ycons"
3000,0.5,0.425086757020272,"surrogate",0.316901634267879,-0.316752275701391,"Ycons"
