"Y","sample_size","tau","theta","estimator","rmse","bias"
"Ycons",1000,0,-0.0746084493662126,"rsv",0.08143056009508,0.00574113554380119
"Ycons",1000,0,-0.0746084493662126,"surrogate",0.0608274076818734,0.0592857719780663
"Ycons",1000,0.1,0.0253915506337874,"rsv",0.0965859175099103,0.0139992705206874
"Ycons",1000,0.1,0.0253915506337874,"surrogate",0.0256713253298612,-0.02131613097964
"Ycons",1000,0.2,0.125391550633787,"rsv",0.120989177322108,0.0233298410368965
"Ycons",1000,0.2,0.125391550633787,"surrogate",0.102563104825497,-0.101490253242913
"Ycons",1000,0.3,0.225391550633787,"rsv",0.150930531204878,0.0421107386103991
"Ycons",1000,0.3,0.225391550633787,"surrogate",0.1818434829455,-0.181174978406958
"Ycons",1000,0.4,0.325391550633787,"rsv",0.210925998328446,0.0505301796314099
"Ycons",1000,0.4,0.325391550633787,"surrogate",0.261126475869653,-0.260664145365254
"Ycons",1000,0.5,0.425391550633787,"rsv",0.204777315335357,0.0618771379431552
"Ycons",1000,0.5,0.425391550633787,"surrogate",0.341266955704671,-0.340874962755264
"Ycons",2000,0,-0.0746084493662126,"rsv",0.0500253508099134,0.00483534537708967
"Ycons",2000,0,-0.0746084493662126,"surrogate",0.0591890868428482,0.0582055973355956
"Ycons",2000,0.1,0.0253915506337874,"rsv",0.0562371342176713,0.00774781409717738
"Ycons",2000,0.1,0.0253915506337874,"surrogate",0.022078828955633,-0.0191098804486145
"Ycons",2000,0.2,0.125391550633787,"rsv",0.0636835915774946,0.0109517375486038
"Ycons",2000,0.2,0.125391550633787,"surrogate",0.0968740067567397,-0.0961636530671823
"Ycons",2000,0.3,0.225391550633787,"rsv",0.0733522422364229,0.0148823315893405
"Ycons",2000,0.3,0.225391550633787,"surrogate",0.173737730204357,-0.173297041459467
"Ycons",2000,0.4,0.325391550633787,"rsv",0.0838693188407757,0.0172029406263698
"Ycons",2000,0.4,0.325391550633787,"surrogate",0.251424527816343,-0.251129049258837
"Ycons",2000,0.5,0.425391550633787,"rsv",0.090788654483024,0.0218198958473203
"Ycons",2000,0.5,0.425391550633787,"surrogate",0.328221647562301,-0.327977604131063
"Ycons",3000,0,-0.0746084493662126,"rsv",0.0324577259554323,0.00117708969847478
"Ycons",3000,0,-0.0746084493662126,"surrogate",0.0560433900497862,0.0554601460503036
"Ycons",3000,0.1,0.0253915506337874,"rsv",0.0373297579419733,0.00317186381467694
"Ycons",3000,0.1,0.0253915506337874,"surrogate",0.0205327673005597,-0.0188445218497079
"Ycons",3000,0.2,0.125391550633787,"rsv",0.0436052915300461,0.00522828251327978
"Ycons",3000,0.2,0.125391550633787,"surrogate",0.0936758458867787,-0.0933157498801319
"Ycons",3000,0.3,0.225391550633787,"rsv",0.050013431944515,0.00525980165022455
"Ycons",3000,0.3,0.225391550633787,"surrogate",0.168042800346107,-0.167817613598567
"Ycons",3000,0.4,0.325391550633787,"rsv",0.0599266983263091,0.00463431076918536
"Ycons",3000,0.4,0.325391550633787,"surrogate",0.242703946029002,-0.242494603234564
"Ycons",3000,0.5,0.425391550633787,"rsv",0.0658288553782428,0.00631001895561911
"Ycons",3000,0.5,0.425391550633787,"surrogate",0.317055459392286,-0.316900178217309
